continent,name,latitude,longitude,capital_city,population,languages,currency,points_of_interest,geography_nature,neighbor_countries
Asia,Israel,31.0461,34.8516,Jerusalem,"9,505,302 (2021)","Hebrew (official), Arabic, Russian, English, others",Israeli new shekel (ILS),"Western Wall, Dead Sea, Masada","Mount Carmel, Sea of Galilee, Red Sea, Timna Park","Egypt, Jordan, Lebanon, Syria"
Asia,Japan,36.2048,138.2529,Tokyo,"126,050,804 (2021)",Japanese (official),Japanese yen (JPY),"Mount Fuji, Tokyo Tower, Osaka Castle","Hokkaido, Mount Asama, Lake Biwa, Himeji Castle","China, North Korea, South Korea, Russia"
Asia,Jordan,30.5852,36.2384,Amman,"10,782,248 (2021)","Arabic (official), English",Jordanian dinar (JOD),"Petra, Dead Sea, Wadi Rum","Jordan Rift Valley, Aqaba, Red Sea, Dana Biosphere Reserve","Iraq, Israel, Saudi Arabia, Syria"
Asia,Kazakhstan,48.0196,66.9237,Nur-Sultan,"19,097,400 (2021)","Kazakh (official), Russian",Kazakhstani tenge (KZT),"Medeu, Kolsai Lakes, Bayterek Tower","Altai Mountains, Caspian Sea, Lake Balkhash, Charyn Canyon","China, Kyrgyzstan, Russia, Turkmenistan, Uzbekistan"
Asia,Kuwait,29.3759,47.9774,Kuwait City,"4,328,550 (2021 estimate)","Arabic (official), English (widely spoken)",Kuwaiti dinar (KWD),"Kuwait Towers, Grand Mosque, The Avenues Mall","Kuwait Bay, Kuwaiti Desert","Iraq, Saudi Arabia"
Asia,Kyrgyzstan,41.2044,74.7661,Bishkek,"6,695,100 (2021)","Kyrgyz (official), Russian",Kyrgyzstani som (KGS),"Issyk-Kul, Ala Archa National Park, Burana Tower","Tien Shan, Pamir Mountains, Fergana Valley, Lake Issyk-Kul","China, Kazakhstan, Tajikistan, Uzbekistan"
Asia,Laos,19.8563,102.4955,Vientiane,"7,984,714 (2021)","Lao (official), French, English, others",Lao kip (LAK),"Plain of Jars, Kuang Si Falls, Vat Phou","Mekong River, Bolaven Plateau, Annamite Range, Phou Bia","Cambodia, China, Myanmar, Thailand, Vietnam"
Asia,Lebanon,33.8547,35.8623,Beirut,"6,859,408 (2021)","Arabic (official), French, English, Armenian",Lebanese pound (LBP),"Jeita Grotto, Byblos, National Museum of Beirut","Mount Lebanon, Qadisha Valley, Kadisha Valley, Tyre","Israel, Syria"
Asia,Malaysia,4.2105,101.9758,Kuala Lumpur,"32,652,037 (2021)","Malay (official), English, Chinese, Tamil",Malaysian ringgit (MYR),"Petronas Twin Towers, Batu Caves, Langkawi","Mount Kinabalu, Cameron Highlands, Taman Negara, Pulau Tioman","Brunei, Indonesia, Singapore, Thailand, Vietnam"
Asia,Maldives,3.2028,73.2207,Malé,"540,542 (2021)",Maldivian Dhivehi (official),Maldivian rufiyaa (MVR),"Maldives Victory, Hulhumalé, Manta Point","Addu Atoll, Baa Atoll, Fuvahmulah, Haa Dhaalu Atoll","India, Sri Lanka"
Asia,Mongolia,46.8625,103.8467,Ulaanbaatar,"3,329,289 (2021)","Mongolian (official), Kazakh, Russian, Chinese",Mongolian tögrög (MNT),"Gorkhi-Terelj National Park, Khustain Nuruu National Park, Gandantegchinlen Monastery","Gobi Desert, Altai Mountains, Lake Khövsgöl, Orkhon Valley","China, Russia"
Asia,Myanmar,21.9162,95.956,Naypyidaw,"55,937,772 (2021)","Burmese (official), Shan, Karen, Rakhine, Chinese, others",Burmese kyat (MMK),"Bagan, Inle Lake, Yangon","Irrawaddy River, Shan Plateau, Mergui Archipelago, Mount Popa","Bangladesh, China, India, Laos, Thailand"
Asia,Nepal,28.3949,84.124,Kathmandu,"29,136,808 (2021)","Nepali (official), Maithili, Bhojpuri, Tharu, Tamang, others",Nepalese rupee (NPR),"Mount Everest, Pashupatinath Temple, Bhaktapur Durbar Square","Himalayas, Chitwan National Park, Annapurna Circuit, Langtang National Park","China, India"
Asia,North Korea,40.3399,127.5101,Pyongyang,"25,549,604 (2021)",Korean (official),North Korean won (KPW),"Kumsusan Palace of the Sun, Mount Paektu, Juche Tower","Korean Peninsula, Mount Kumgang, Taedong River, Baekdu Mountain","China, South Korea, Russia"
Asia,Oman,21.4735,55.9754,Muscat,"5,417,086 (2021)","Arabic (official), English, Balochi, Urdu, others",Omani rial (OMR),"Sultan Qaboos Grand Mosque, Mutrah Souq, Wahiba Sands","Musandam Peninsula, Al Hajar Mountains, Rub' al Khali, Wadi Shab","Saudi Arabia, United Arab Emirates, Yemen"
Asia,Pakistan,30.3753,69.3451,Islamabad,"226,916,501 (2021)","Urdu (official), English, Punjabi, Sindhi, Pashto, Balochi, others",Pakistani rupee (PKR),"Badshahi Mosque, Lahore Fort, Faisal Mosque","Karakoram Range, K2, Indus River, Thar Desert","Afghanistan, China, India, Iran"
Asia,Palestine,31.9522,35.2332,East Jerusalem,"5,167,753 (2021)","Arabic, Hebrew (both official)","Israeli new shekel (ILS), Jordanian dinar (JOD), Egyptian pound (EGP)","Church of the Nativity, Al-Aqsa Mosque, Mount of Olives","Gaza Strip, West Bank, Dead Sea, Mount Carmel","Israel, Jordan"
Asia,Philippines,12.8797,121.774,Manila,"111,935,928 (2021)","Filipino, English (both official)",Philippine peso (PHP),"Boracay, Chocolate Hills, Mayon Volcano","Tubbataha Reef, Taal Volcano, Puerto Princesa Subterranean River National Park","China, Indonesia, Malaysia, Palau, Taiwan, Vietnam"
Asia,Qatar,25.3548,51.1839,Doha,"2,881,053 (2021)","Arabic (official), English",Qatari riyal (QAR),"Museum of Islamic Art, Souq Waqif, The Pearl-Qatar","Khor al Adaid, Al Wakrah, Al-Zubarah, Zubarah Fort","Saudi Arabia, United Arab Emirates"
Asia,Russia,61.524,105.3188,Moscow,"145,912,025 (2021)","Russian (official), Tatar, Bashkir, Chuvash, others",Russian ruble (RUB),"Saint Basil's Cathedral, Red Square, Hermitage Museum","Lake Baikal, Ural Mountains, Kamchatka Peninsula, Altai Mountains","Azerbaijan, Belarus, China, Estonia, Finland, Georgia, Kazakhstan, North Korea, Latvia, Lithuania, Mongolia, Norway, Poland"
Asia,Saudi Arabia,23.8859,45.0792,Riyadh,"35,340,683 (2021)",Arabic (official),Saudi riyal (SAR),"Mecca, Medina, Al-Masjid an-Nabawi","Rub' al Khali, Al-Nafud desert, Red Sea, Arabian Peninsula","Iraq, Jordan, Kuwait, Oman, Qatar, United Arab Emirates, Yemen"
Asia,Singapore,1.3521,103.8198,Singapore,"5,896,686 (2021)","English, Malay, Mandarin, Tamil (all official)",Singapore dollar (SGD),"Gardens by the Bay, Marina Bay Sands, Sentosa Island","Jurong Bird Park, Bukit Timah Nature Reserve, Pulau Ubin","Indonesia, Malaysia"
Asia,South Korea,35.9078,127.7669,Seoul,"51,269,185 (2021)",Korean (official),South Korean won (KRW),"Gyeongbokgung, Jeju Island, Namsan Tower","Mount Hallasan, Han River, Jirisan National Park, Seoraksan National Park",North Korea
Asia,Sri Lanka,7.8731,80.7718,Sri Jayawardenepura Kotte,"21,701,169 (2021)","Sinhala (official), Tamil, English",Sri Lankan rupee (LKR),"Sigiriya, Temple of the Tooth, Yala National Park","Adam's Peak, Horton Plains National Park, Knuckles Mountain Range, Pinnawala Elephant Orphanage",India
Asia,Syria,34.8021,38.9968,Damascus,"18,176,669 (2021)",Arabic (official),Syrian pound (SYP),"Umayyad Mosque, Krak des Chevaliers, Palmyra","Mount Qasioun, Euphrates River, Dead Cities, Crac des Chevaliers","Iraq, Israel, Jordan, Lebanon, Turkey"
Asia,Taiwan,23.6978,120.9605,Taipei,"23,597,561 (2021)","Mandarin (official), Taiwanese Hokkien, Hakka, Formosan languages",New Taiwan dollar (TWD),"Taipei 101, Sun Moon Lake, Alishan National Scenic Area","Taroko Gorge, Yushan National Park, Kenting National Park, Yangmingshan National Park",China
Asia,Tajikistan,38.861,71.2761,Dushanbe,"9,537,645 (2021)","Tajik (official), Russian",Tajikistani somoni (TJS),"Iskanderkul, Rudaki Park, Pamir Highway","Pamir Mountains, Fann Mountains, Vakhsh River","Afghanistan, China, Kyrgyzstan, Uzbekistan"
Asia,Thailand,15.87,100.9925,Bangkok,"69,751,881 (2021)",Thai (official),Thai baht (THB),"Wat Phra Kaew, Grand Palace, Ayutthaya Historical Park","Phang Nga Bay, Koh Phi Phi, Doi Inthanon, Erawan National Park","Cambodia, Laos, Malaysia, Myanmar"
Asia,Timor-Leste (East Timor),8.874,125.7275,Dili,"1,392,645 (2021)","Tetum (official), Portuguese, Indonesian, English",United States dollar (USD),"Cristo Rei of Dili, Jaco Island, Atauro Island","Mount Ramelau, Lake Modo, Matebian Mountain Range",Indonesia
Asia,Turkey,38.9637,35.2433,Ankara,"84,437,166 (2021)",Turkish (official),Turkish lira (TRY),"Hagia Sophia, Blue Mosque, Pamukkale","Mount Ararat, Bosphorus Strait, Goreme National Park, Cappadocia","Armenia, Azerbaijan, Bulgaria, Georgia, Greece, Iran, Iraq, Syria"
Asia,Turkmenistan,38.9697,59.5563,Ashgabat,"6,031,200 (2021)","Turkmen (official), Russian, Uzbek",Turkmenistan manat (TMT),"Darvaza gas crater, Ashgabat National Museum of History, Konye-Urgench","Karakum Desert, Kopet Dag, Turkmenbashi, Amu Darya River","Afghanistan, Iran, Kazakhstan, Uzbekistan"
Asia,United Arab Emirates,23.4241,53.8478,Abu Dhabi,"10,395,186 (2021)","Arabic (official), English, Hindi, Urdu",UAE dirham (AED),"Burj Khalifa, Sheikh Zayed Mosque, Dubai Mall","Palm Jumeirah, The World Islands, Dubai Fountain, Abu Dhabi Falcon Hospital","Oman, Saudi Arabia"
Asia,Uzbekistan,41.3775,64.5853,Tashkent,"34,775,711 (2021)",Uzbek (official),Uzbekistani som (UZS),"Registan, Amir Timur Museum, Charvak Reservoir","Aral Sea, Kyzylkum Desert, Chimgan Mountains, Nuratau Mountains","Afghanistan, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan"
Asia,Vietnam,14.0583,108.2772,Hanoi,"98,438,984 (2021)",Vietnamese (official),Vietnamese đồng (VND),"Ha Long Bay, Ho Chi Minh Mausoleum, Hoi An Ancient Town","Mekong Delta, Sa Pa, Phong Nha-Ke Bang National Park, Fansipan Mountain","Cambodia, China, Laos"
Asia,Yemen,15.552727,48.516388,Sana'a,"29,825,968 (2021)","Arabic, Yemeni Sign Language",Yemeni rial (YER),"Old City of Sana'a, Shibam, Socotra Island","Mountains of the Moon, The Empty Quarter","Saudi Arabia, Oman"
Europe,Albania,41.1533,20.1683,Tirana,"2,862,427 (2021 estimate)","Albanian (official), Greek, Macedonian, Aromanian",Lek (ALL),"Butrint National Park, Berat Castle, Skanderbeg Square","Albanian Alps, Ohrid Lake, Valbona Valley National Park","Greece, North Macedonia, Montenegro, Kosovo"
Europe,Andorra,42.5063,1.5218,Andorra la Vella,"77,545 (2021 estimate)",Catalan (official),Euro (EUR),"Casa de la Vall, Andorra la Vella, Vallnord ski resort","Coma Pedrosa, Tristaina Lakes, Vall del Madriu-Perafita-Claror","France, Spain"
Europe,Austria,47.5162,14.5501,Vienna,"8,773,686 (2021 estimate)",German (official),Euro (EUR),"Schönbrunn Palace, St. Stephen's Cathedral, Hofburg Palace","Grossglockner, Wachau Valley, Hallstatt-Dachstein / Salzkammergut Cultural Landscape","Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein"
Europe,Belarus,53.7098,27.9534,Minsk,"9,405,174 (2021 estimate)","Belarusian, Russian",Belarusian ruble (BYN),"Nesvizh Palace, Brest Fortress, Mir Castle","Belovezhskaya Pushcha National Park, Berezinsky Biosphere Reserve, Braslav Lakes National Park","Russia, Latvia, Lithuania, Poland, Ukraine"
Europe,Belgium,50.5039,4.4699,Brussels,"11,769,615 (2021 estimate)","Dutch, French, German",Euro (EUR),"Atomium, Grand Place, Manneken Pis","Ardennes, Meuse Valley, Belgian Coast","Netherlands, Germany, Luxembourg, France"
Europe,Bosnia and Herzegovina,43.9159,17.6791,Sarajevo,"3,242,506 (2021 estimate)","Bosnian, Croatian, Serbian",Bosnia and Herzegovina convertible mark (BAM),"Stari Most, Vrelo Bosne, Gazi Husrev-beg Mosque","Blidinje Nature Park, Una National Park, Trebević","Serbia, Montenegro, Croatia"
Europe,Bulgaria,42.7339,25.4858,Sofia,"6,896,309 (2021)","Bulgarian (76.9%), Turkish (8%), Romani (3.7%), others (11.4%)",Lev (BGN),"Rila Monastery, Alexander Nevsky Cathedral, Sunny Beach","Balkan Mountains, Danube Plain, Rhodope Mountains","Romania, Serbia, North Macedonia, Greece, Turkey"
Europe,Croatia,45.1,15.2,Zagreb,"4,105,493 (2021)","Croatian (95.6%), Serbian (1.2%), other (3.2%)",Kuna (HRK),"Plitvice Lakes National Park, Dubrovnik, Diocletian's Palace","Dinaric Alps, Adriatic Sea, Plitvice Lakes","Slovenia, Hungary, Serbia, Bosnia and Herzegovina, Montenegro"
Europe,Cyprus,35.1264,33.4299,Nicosia,"1,211,304 (2021)","Greek (78%), Turkish (18%), other (4%)",Euro (EUR),"Kykkos Monastery, Ancient Kourion, Petra tou Romiou","Troodos Mountains, Akamas Peninsula, Paphos Forest",None (island country)
Europe,Czech Republic,49.8175,15.473,Prague,"10,729,825 (2021)","Czech (95.4%), Slovak (2.2%), other (2.4%)",Czech koruna (CZK),"Prague Castle, Charles Bridge, Old Town Square","Bohemian Forest, Krkonoše, Moravian-Silesian Beskids","Poland, Germany, Austria, Slovakia"
Europe,Denmark,56.2639,9.5018,Copenhagen,"5,847,614 (2021)","Danish (97.5%), other (2.5%)",Danish krone (DKK),"Tivoli Gardens, The Little Mermaid, Christiansborg Palace","Jutland Peninsula, Zealand, Funen",Germany
Europe,Estonia,58.5953,25.0136,Tallinn,"1,326,535 (2021)","Estonian (68.5%), Russian (29.6%), other (1.9%)",Euro (EUR),"Old Town Tallinn, Lahemaa National Park, Soomaa","Baltic Sea, Gulf of Finland, Lake Peipus","Latvia, Russia"
Europe,Finland,61.9241,25.7482,Helsinki,"5,531,114 (2021)","Finnish (87.7%), Swedish (5.3%), other (7%)",Euro (EUR),"Northern Lights, Helsinki Cathedral, Suomenlinna","Lapland, Archipelago Sea, Lake Saimaa","Norway, Sweden, Russia"
Europe,France,46.2276,2.2137,Paris,"67,413,000 (2022)","French (98.0%), German (1.1%), English (1.0%)",Euro,"Eiffel Tower, Louvre Museum, Palace of Versailles","Mont Blanc, Gorges du Verdon, Pont du Gard","Belgium, Luxembourg, Germany, Switzerland, Italy, Spain, Andorra, Monaco"
Europe,Georgia,42.3154,43.3569,Tbilisi,"3,726,000 (2022)","Georgian (87.6%), Russian (6.2%), Armenian (3.9%)",Lari,"Tbilisi Old Town, Svaneti, Gergeti Trinity Church","Mount Kazbek, Svaneti mountain villages, Uplistsikhe cave town","Russia, Azerbaijan, Armenia, Turkey"
Europe,Germany,51.1657,10.4515,Berlin,"83,517,045 (2022)","German (99%), Turkish (1%)",Euro,"Brandenburg Gate, Neuschwanstein Castle, Berlin Wall","Zugspitze Mountain, Rhine Valley, Black Forest","Denmark, Poland, Czech Republic, Austria, Switzerland, France, Luxembourg, Netherlands, Belgium"
Europe,Greece,39.0742,21.8243,Athens,"10,718,565 (2022)","Greek (99%), English (51%), French (26%), German (22%)",Euro,"Acropolis, Santorini, Meteora","Mount Olympus, Vikos Gorge, Samaria Gorge","Albania, North Macedonia, Bulgaria, Turkey"
Europe,Hungary,47.1625,19.5033,Budapest,"9,769,000 (2022)","Hungarian (99.6%), English (16%), German (11%)",Forint,"Fisherman's Bastion, Buda Castle, Parliament Building","Lake Balaton, Danube Bend, Aggtelek National Park","Austria, Slovakia, Ukraine, Romania, Serbia, Croatia, Slovenia"
Europe,Iceland,64.9631,-19.0208,Reykjavik,"368,425 (2022)","Icelandic (95%), English (98%), Nordic languages",Icelandic Krona,"Blue Lagoon, Vatnajökull National Park, Gullfoss Falls","Hvítárvatn Lake, Thingvellir National Park, Akureyri","Greenland (Denmark), Faroe Islands (Denmark)"
Europe,Ireland,53.1424,-7.6921,Dublin,"4,937,786 (2021)","Irish (41.9%), English (94.6%)",Euro (EUR),"Cliffs of Moher, Guinness Storehouse, Ring of Kerry","River Shannon, Connemara National Park, Wicklow Mountains",United Kingdom
Europe,Italy,41.8719,12.5674,Rome,"60,310,000 (2021)",Italian (94.1%),Euro (EUR),"Colosseum, Leaning Tower of Pisa, Pompeii","Mount Vesuvius, Lake Como, Dolomites","Austria, France, Switzerland, Slovenia, Vatican City, San Marino"
Europe,Kosovo,42.6026,20.9025,Pristina,"1,739,825 (2021)","Albanian (94.5%), Serbian (5.1%)",Euro (EUR),"Gazivoda Lake, Gadime Cave, Rugova Canyon","Šar Mountains, Bjeshkët e Nemuna National Park","Serbia, Montenegro, Albania, North Macedonia"
Europe,Latvia,56.8796,24.6032,Riga,"1,877,900 (2021)","Latvian (56.9%), Russian (33.8%)",Euro (EUR),"Riga Old Town, Jurmala Beach, Gauja National Park","Daugava River, Lake Lubāns, Cape Kolka","Estonia, Russia, Belarus, Lithuania"
Europe,Liechtenstein,47.166,9.5554,Vaduz,"38,111 (2021)","German (94.5%), Alemannic (1.1%)",Swiss franc (CHF),"Vaduz Castle, Liechtenstein National Museum, Malbun Ski Resort","Alpstein Mountains, Rhine River, Grauspitz","Switzerland, Austria"
Europe,Lithuania,55.1694,23.8813,Vilnius,"2,759,627 (2021)","Lithuanian (84.2%), Russian (8.8%)",Euro (EUR),"Hill of Crosses, Trakai Island Castle, Gediminas Tower","Curonian Spit, Nemunas Delta Regional Park, Aukštaitija National Park","Latvia, Belarus, Poland, Russia"
Europe,Luxembourg,49.8153,6.1296,Luxembourg,"634,730 (2021)","Luxembourgish (55.8%), French (15.8%), German (12.1%)",Euro (EUR),"Luxembourg City, Vianden Castle, Mullerthal Region","Ardennes, Moselle Valley, The Red Lands","Belgium, Germany, France"
Europe,Macedonia,41.6086,21.7453,Skopje,"2,082,957 (2021)","Macedonian (66.5%), Albanian (25.1%), Turkish (3.5%)",Macedonian Denar,"Lake Ohrid, Skopje Fortress, Matka Canyon","Mount Korab, Vardar River, Osogovo Mountains","Albania, Bulgaria, Greece, Kosovo, Serbia"
Europe,Malta,35.9375,14.3754,Valletta,"514,564 (2021)","Maltese (90.1%), English (6%), Italian (1.7%)",Euro,"Hal Saflieni Hypogeum, St. John's Co-Cathedral, Grandmaster's Palace","Blue Lagoon, Megalithic Temples of Malta, Dingli Cliffs","Italy, Libya, Tunisia"
Europe,Moldova,47.4116,28.3699,Chisinau,"2,635,006 (2021)","Romanian (80.2%), Russian (9.7%), Ukrainian (3.3%)",Moldovan Leu,"Orheiul Vechi, Milestii Mici Winery, Cricova Winery","Nistru River, Prut River, Codri Hills","Romania, Ukraine"
Europe,Monaco,43.7384,7.4246,Monaco,"39,000 (2021)","French (17.5%), Monegasque (16.3%), Italian (13.1%)",Euro,"Prince's Palace of Monaco, Monte Carlo Casino, Oceanographic Museum","Rock of Monaco, Saint Nicholas Cathedral, Fontvieille Park",France
Europe,Montenegro,42.7087,19.3744,Podgorica,"628,066 (2021)","Montenegrin (42.9%), Serbian (37%), Bosnian (5.3%)",Euro,"Bay of Kotor, Durmitor National Park, Ostrog Monastery","Biogradska Gora National Park, Skadar Lake, Tara River Canyon","Albania, Bosnia and Herzegovina, Croatia, Kosovo, Serbia"
Europe,Netherlands,52.1326,5.2913,Amsterdam,"17,577,614 (2021)","Dutch (90.7%), Frisian (2.5%), English (0.9%)",Euro,"Rijksmuseum, Van Gogh Museum, Anne Frank House","Wadden Sea, Ijsselmeer, Rhine River","Belgium, Germany"
Europe,Norway,60.472,8.468,Oslo,"5,391,369 (2020)","Norwegian (96.5%), Northern Sami (0.03%), Lule Sami (0.02%), Kven (0.01%), Other (3.4%)",Norwegian krone (NOK),"Geirangerfjord, Lofoten Islands, Vigeland Sculpture Park","Dovrefjell-Sunndalsfjella National Park, Jotunheimen National Park, Sognefjord","Finland, Sweden, Russia"
Europe,Poland,51.919,19.145,Warsaw,"38,413,000 (2020)","Polish (98.1%), Silesian (1.4%), Kashubian (0.6%), Other (0.5%)",Polish złoty (PLN),"Wawel Castle, Auschwitz-Birkenau Memorial and Museum, Białowieża Forest","Bieszczady Mountains, Tatra Mountains, Masurian Lake District","Germany, Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, Russia"
Europe,Portugal,39.399,-8.224,Lisbon,"10,295,000 (2020)","Portuguese (99%), Mirandese (0.6%), Other (0.4%)",Euro (EUR),"Jerónimos Monastery, Belem Tower, Sintra","Douro Valley, Madeira Island, Azores Islands",Spain
Europe,Romania,45.943,24.966,Bucharest,"19,511,000 (2020)","Romanian (85.6%), Hungarian (6.2%), Romani (3.1%), Ukrainian (0.3%), German (0.2%), Other (4.6%)",Romanian leu (RON),"Bran Castle, Palace of the Parliament, Painted Monasteries","Danube Delta, Carpathian Mountains, Iron Gates","Ukraine, Moldova, Bulgaria, Serbia, Hungary"
Europe,Russia,61.524,105.318,Moscow,"144,096,812 (2021)","Russian (85.7%), Tatar (3.7%), Bashkir (1.2%), Chuvash (1.1%), Other (8.3%)",Russian ruble (RUB),"Saint Basil's Cathedral, Hermitage Museum, Lake Baikal","Mount Elbrus, Volga River, Siberian Plateau","Norway, Finland, Estonia, Latvia, Lithuania, Poland, Belarus, Ukraine, Georgia, Azerbaijan, Kazakhstan, Mongolia, China, North Korea"
Europe,San Marino,43.942,12.448,San Marino,"34,017 (2021)",Italian (100%),Euro (EUR),"Three Towers of San Marino, Basilica di San Marino, State Museum of San Marino","Mount Titano, Valdragone River, Monte Cerreto",Italy
Europe,Serbia,44.0165,21.0059,Belgrade,"6,926,705 (2022)","Serbian (88.1%), Hungarian (3.4%), Bosnian (1.9%), Romani (1.4%), Slovak (0.8%)",Serbian Dinar (RSD),"Belgrade Fortress, Church of Saint Sava, National Museum of Serbia","Danube River, Drina River, Tara River","Hungary, Romania, Bulgaria, North Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina"
Europe,Slovakia,48.669,19.699,Bratislava,"5,460,548 (2022)","Slovak (80.6%), Hungarian (8.5%), Roma (2%), Ukrainian (0.6%), Czech (0.6%)",Euro (EUR),"Bratislava Castle, St. Martin's Cathedral, High Tatras","Tatra Mountains, Danube River, Váh River","Czech Republic, Poland, Ukraine, Hungary, Austria"
Europe,Slovenia,46.1512,14.9955,Ljubljana,"2,088,332 (2022)","Slovene (91.1%), Serbian (1.8%), Croatian (1.4%), Bosnian (0.6%), Italian (0.5%)",Euro (EUR),"Lake Bled, Postojna Cave, Predjama Castle","Triglav, Soča River, Julian Alps","Austria, Italy, Hungary, Croatia"
